mesh,bs_node,target,w_idx,driver,curve_name,curve_type,pre_inf,post_inf
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,0,L_lipCorner_CTL.translateX,C_facial_local_BLS_l_narrow_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY,C_facial_local_BLS,l_up_mouth_bls,1,L_lipCorner_CTL.translateY,C_facial_local_BLS_l_up_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY,C_facial_local_BLS,l_down_mouth_bls,2,L_lipCorner_CTL.translateY,C_facial_local_BLS_l_down_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY,C_facial_local_BLS,l_in_mouth_bls,3,L_lipCorner_CTL.translateX,C_facial_local_BLS_l_in_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY,C_facial_local_BLS,C_body_corrective_bls,4,,,,,
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,0,L_lipCorner_CTL.translateX,C_facial_local_BLS_l_narrow_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_up_mouth_bls,1,L_lipCorner_CTL.translateY,C_facial_local_BLS_l_up_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_down_mouth_bls,2,L_lipCorner_CTL.translateY,C_facial_local_BLS_l_down_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_in_mouth_bls,3,L_lipCorner_CTL.translateX,C_facial_local_BLS_l_in_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,C_body_corrective_bls,4,,,,,
