mesh,bs_node,target,vtx_idx,dx,dy,dz
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,4,-0.001696,0.001235,0.001421
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,5,-0.040637,0.030425,0.035963
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,6,-0.040367,0.031408,0.039835
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,7,-0.000173,0.00014,0.000192
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,9,0.135473,-0.061231,0.111806
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,10,0.033304,-0.031651,0.253521
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,11,0.033905,0.011347,0.298919
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,24,-0.000715,0.00051,0.000576
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,25,-0.059646,0.0434,0.049581
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,26,-0.140128,0.104423,0.122696
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,27,-0.102642,0.079258,0.099754
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,28,-0.001944,0.001555,0.002112
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,30,0.04234,-0.092675,0.070771
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,31,-0.000724,-0.000889,0.002784
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,32,-0.000599,0.014655,0.106259
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,33,-0.000133,0.000297,0.001307
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,44,-4e-06,3e-06,3e-06
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,45,-0.009998,0.007054,0.007819
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,46,-0.123641,0.088763,0.099279
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,47,-0.200551,0.146792,0.168405
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,48,-0.13715,0.103202,0.126194
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,49,-0.01262,0.009741,0.012794
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,51,-6.6e-05,-4.1e-05,8.4e-05
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,52,-0.000869,-0.024229,0.037759
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,53,-0.032631,0.032765,0.289286
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,54,0.000616,0.001165,0.009272
